,num_infected,num_interactions,num_interactions_condoms
0,1,2,2
1,1,5,5
2,1,5,5
3,1,7,7
4,1,12,12
5,1,16,16
6,1,18,18
7,1,20,20
8,1,22,22
9,1,28,28
10,1,32,32
11,1,36,36
12,1,39,39
13,1,41,41
14,1,44,44
15,1,48,48
16,1,50,50
17,1,53,53
18,1,56,56
19,1,60,60
20,1,63,63
21,1,68,68
22,1,70,70
23,1,73,73
24,1,75,75
25,1,77,77
26,1,78,78
27,1,81,81
28,1,84,84
29,1,86,86
30,1,87,87
31,1,89,89
32,1,91,91
33,1,92,92
34,1,94,94
35,1,97,97
36,1,100,100
37,1,104,104
38,1,108,108
39,1,113,113
40,1,121,121
41,1,127,127
42,1,132,132
43,1,136,136
44,1,139,139
45,1,142,142
46,1,143,143
47,1,144,144
48,1,146,146
49,1,147,147
50,1,150,150
51,1,152,152
52,1,154,154
53,1,155,155
54,1,158,158
55,1,161,161
56,2,162,162
57,2,165,165
58,2,167,167
59,2,168,168
60,2,170,170
61,2,173,173
62,2,174,174
63,2,175,175
64,2,177,177
65,2,178,178
66,3,182,182
67,4,187,187
68,4,189,189
69,4,191,191
70,4,194,194
71,4,197,197
72,4,198,198
73,4,202,202
74,4,204,204
75,5,206,206
76,5,210,210
77,5,213,213
78,5,217,217
79,5,219,219
80,5,222,222
81,5,225,225
82,5,231,231
83,5,234,234
84,5,236,236
85,5,240,240
86,6,243,243
87,6,245,245
88,6,246,246
89,6,247,247
90,6,250,250
91,6,251,251
92,6,252,252
93,6,255,255
94,7,259,259
95,7,263,263
96,7,268,268
97,7,270,270
98,7,272,272
99,7,276,276
