,time,agent_a,agent_b,use_condom,is_transmission
0,1,0,6,False,False
1,2,0,1,False,False
2,3,4,9,False,True
3,3,0,1,False,False
4,5,0,8,False,False
5,6,0,1,False,False
6,7,4,8,False,True
7,8,4,8,False,True
8,10,3,4,False,True
9,11,4,8,False,True
10,12,3,8,False,True
11,13,1,2,False,False
12,13,7,8,False,True
13,14,6,9,False,True
14,18,3,4,False,True
15,19,3,7,False,True
16,20,2,5,False,False
17,25,0,2,False,False
18,25,2,8,False,True
19,28,0,8,False,True
20,29,0,1,False,True
21,30,6,7,False,True
22,30,2,4,False,True
23,30,0,1,False,True
24,31,1,8,False,True
25,32,7,9,False,True
26,33,3,9,False,True
27,33,4,8,False,True
28,34,3,9,False,True
29,35,5,8,False,True
30,35,4,9,False,True
31,36,3,9,False,True
32,36,5,8,False,True
33,36,7,9,False,True
34,37,7,9,False,True
35,37,5,8,False,True
36,39,0,1,False,True
37,40,3,9,False,True
38,41,4,5,False,True
39,42,3,6,False,True
40,42,4,5,False,True
41,46,6,9,False,True
42,46,2,9,False,True
43,47,1,8,False,True
44,47,4,5,False,True
45,48,6,9,False,True
46,48,2,9,False,False
47,49,3,9,False,True
48,53,3,9,False,True
49,54,5,7,False,True
50,54,3,6,False,True
51,56,3,4,False,False
52,56,5,7,False,True
53,56,8,9,False,True
54,58,1,2,False,True
55,58,1,3,False,True
56,58,2,3,False,True
57,62,4,9,False,True
58,63,0,3,False,True
59,64,3,7,False,True
60,64,0,7,False,True
61,65,6,9,False,True
62,65,5,9,False,True
63,66,6,8,False,True
64,67,6,8,False,True
65,68,3,4,False,True
66,71,3,8,False,True
67,72,2,8,False,True
68,73,2,7,False,True
69,74,2,7,False,True
70,77,2,4,False,True
71,78,0,2,False,True
72,78,5,7,False,True
73,80,3,9,False,True
74,81,0,8,False,True
75,85,2,5,False,True
76,86,2,5,False,True
77,87,2,5,False,True
78,88,1,9,False,True
79,89,4,5,False,True
80,90,0,1,False,True
81,91,2,4,False,True
82,91,0,1,False,True
83,92,3,7,False,True
84,92,1,9,False,True
85,93,4,7,False,True
86,93,0,6,False,True
87,95,1,2,False,False
88,96,4,7,False,True
89,97,5,7,False,True
90,98,0,6,False,True
91,99,4,5,False,True
92,99,4,7,False,True
