,num_infected,num_interactions,num_interactions_condoms
0,1,2,2
1,1,4,3
2,1,8,6
3,1,9,7
4,1,10,8
5,1,13,11
6,1,14,12
7,1,17,15
8,1,18,16
9,1,19,16
10,3,23,19
11,4,28,22
12,5,32,24
13,6,36,26
14,6,40,28
15,6,42,30
16,6,45,32
17,6,47,34
18,6,51,36
19,6,54,39
20,6,57,42
21,6,64,46
22,7,66,48
23,7,68,50
24,7,68,50
25,7,70,51
26,7,72,52
27,7,75,54
28,7,78,57
29,7,81,59
30,7,82,60
31,8,83,61
32,8,88,65
33,8,91,67
34,8,92,68
35,8,93,69
36,8,94,70
37,8,99,75
38,8,100,76
39,8,103,79
40,8,106,82
41,8,108,83
42,8,109,83
43,8,111,84
44,8,111,84
45,9,113,86
46,9,116,89
47,9,121,93
48,9,124,96
49,10,130,100
50,10,134,103
51,10,137,106
52,10,142,110
53,10,144,111
54,10,146,112
55,10,147,113
56,10,150,116
57,10,151,117
58,10,152,118
59,10,155,121
60,10,157,123
61,10,160,126
62,10,162,128
63,10,164,130
64,10,167,132
65,10,167,132
66,10,169,133
67,10,171,134
68,10,173,136
69,10,175,138
70,10,177,139
71,10,179,140
72,10,183,142
73,10,187,143
74,10,190,143
75,10,195,144
76,10,199,146
77,10,206,150
78,10,208,152
79,10,208,152
80,10,211,154
81,10,212,155
82,10,216,158
83,10,220,160
84,10,223,163
85,10,226,164
86,10,228,165
87,10,230,167
88,10,233,169
89,10,236,172
90,10,237,173
91,10,239,174
92,10,241,175
93,10,244,176
94,10,247,179
95,10,250,181
96,10,253,182
97,10,255,183
98,10,257,183
99,10,259,184
