,num_infected,num_interactions,num_interactions_condoms
0,1,3,2
1,1,7,5
2,1,9,7
3,1,13,10
4,1,14,11
5,1,17,13
6,1,19,14
7,1,22,16
8,1,23,17
9,1,27,21
10,1,33,26
11,1,36,29
12,1,37,30
13,1,40,33
14,1,43,35
15,1,45,37
16,1,47,38
17,1,48,38
18,1,51,40
19,1,53,41
20,1,55,43
21,1,57,44
22,1,58,44
23,1,59,44
24,1,61,46
25,1,63,46
26,1,69,49
27,1,74,51
28,1,75,52
29,1,78,54
30,1,79,54
31,1,83,56
32,1,88,60
33,3,91,63
34,3,94,66
35,3,98,69
36,3,103,73
37,5,106,75
38,5,111,79
39,5,117,84
40,5,119,86
41,5,121,88
42,5,126,92
43,6,130,95
44,6,132,96
45,7,133,96
46,7,135,97
47,7,137,98
48,7,140,100
49,7,141,101
50,7,143,103
51,8,146,104
52,8,149,107
53,8,151,109
54,8,154,112
55,8,155,113
56,8,158,116
57,8,160,118
58,9,164,122
59,9,167,125
60,9,168,126
61,9,174,130
62,9,177,132
63,9,178,133
64,9,181,136
65,9,185,140
66,9,186,141
67,9,189,144
68,10,194,148
69,10,197,150
70,10,201,153
71,10,205,157
72,10,209,161
73,10,210,162
74,10,212,164
75,10,214,166
76,10,216,168
77,10,219,170
78,10,222,171
79,10,224,172
80,10,228,175
81,10,230,176
82,10,233,178
83,10,237,181
84,10,242,183
85,10,247,187
86,10,250,189
87,10,251,190
88,10,254,192
89,10,256,193
90,10,258,194
91,10,259,195
92,10,260,196
93,10,261,197
94,10,264,198
95,10,268,200
96,10,271,202
97,10,274,204
98,10,276,205
99,10,277,205
