,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,2,2
2,1,3,3
3,1,5,5
4,1,5,5
5,1,5,5
6,1,6,6
7,1,6,6
8,1,6,6
9,1,6,6
10,1,6,6
11,1,7,7
12,1,8,8
13,1,8,8
14,1,8,8
15,1,8,8
16,2,11,11
17,2,12,12
18,2,13,13
19,2,14,14
20,2,15,15
21,2,16,16
22,2,18,18
23,2,18,18
24,2,18,18
25,2,19,19
26,2,20,20
27,2,22,22
28,2,22,22
29,3,23,23
30,3,27,27
31,4,30,30
32,4,33,33
33,4,33,33
34,4,34,34
35,4,34,34
36,4,36,36
37,4,37,37
38,4,37,37
39,4,39,39
40,4,39,39
41,4,40,40
42,4,41,41
43,4,41,41
44,4,41,41
45,4,41,41
46,4,43,43
47,4,43,43
48,4,43,43
49,4,43,43
50,4,44,44
51,4,46,46
52,4,49,49
53,4,49,49
54,4,50,50
55,4,50,50
56,4,51,51
57,4,51,51
58,4,51,51
59,4,51,51
60,4,51,51
61,5,53,53
62,5,54,54
63,5,54,54
64,5,54,54
65,5,55,55
66,5,55,55
67,5,55,55
68,5,56,56
69,5,56,56
70,5,56,56
71,5,56,56
72,5,57,57
73,5,58,58
74,5,58,58
75,5,59,59
76,5,59,59
77,5,59,59
78,5,59,59
79,5,60,60
80,5,60,60
81,5,60,60
82,5,60,60
83,5,62,62
84,5,64,64
85,5,65,65
86,6,66,66
87,6,66,66
88,6,66,66
89,6,66,66
90,6,67,67
91,6,67,67
92,6,70,70
93,6,73,73
94,6,77,77
95,6,79,79
96,6,79,79
97,6,81,81
98,6,81,81
99,6,83,83
