,num_infected,num_interactions,num_interactions_condoms
0,1,1,1
1,1,1,1
2,1,1,1
3,1,3,2
4,1,3,2
5,1,3,2
6,1,4,3
7,1,5,4
8,2,9,7
9,2,11,9
10,2,12,10
11,2,14,11
12,2,15,12
13,2,16,13
14,2,18,15
15,3,19,15
16,3,19,15
17,3,19,15
18,3,20,16
19,3,22,18
20,3,22,18
21,3,23,19
22,3,23,19
23,3,23,19
24,3,23,19
25,3,23,19
26,4,25,20
27,4,26,21
28,5,28,23
29,5,28,23
30,6,30,25
31,6,31,26
32,6,32,27
33,6,32,27
34,6,33,28
35,6,34,29
36,7,36,31
37,7,36,31
38,8,37,32
39,8,38,33
40,8,39,34
41,8,39,34
42,8,39,34
43,8,40,35
44,8,41,36
45,8,41,36
46,8,42,37
47,8,44,39
48,8,44,39
49,8,44,39
50,8,44,39
51,8,44,39
52,8,45,40
53,8,46,41
54,8,48,43
55,9,51,46
56,9,51,46
57,9,52,47
58,9,52,47
59,9,52,47
60,9,52,47
61,9,52,47
62,9,53,48
63,9,53,48
64,9,53,48
65,9,53,48
66,9,55,50
67,9,58,53
68,9,58,53
69,9,59,54
70,9,61,56
71,9,63,58
72,9,63,58
73,9,64,58
74,9,66,60
75,9,67,61
76,9,68,62
77,9,69,63
78,9,70,64
79,9,71,65
80,9,71,65
81,9,71,65
82,9,71,65
83,9,72,66
84,9,73,67
85,9,74,68
86,9,75,68
87,9,76,69
88,9,76,69
89,9,76,69
90,9,76,69
91,9,77,70
92,9,79,71
93,9,80,71
94,9,81,72
95,9,81,72
96,9,83,73
97,9,86,75
98,9,86,75
99,9,87,76
