,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,0,0
2,1,0,0
3,1,1,1
4,1,3,3
5,1,3,3
6,1,6,6
7,1,7,7
8,1,7,7
9,1,8,8
10,1,9,9
11,1,10,10
12,1,12,11
13,1,14,13
14,1,14,13
15,1,15,14
16,1,16,15
17,1,19,17
18,1,21,18
19,1,21,18
20,1,22,19
21,1,22,19
22,1,22,19
23,2,25,21
24,2,29,25
25,2,29,25
26,2,30,26
27,2,32,28
28,2,34,30
29,2,35,31
30,2,36,32
31,2,36,32
32,2,37,33
33,2,37,33
34,2,38,34
35,2,39,35
36,2,39,35
37,2,39,35
38,2,41,37
39,2,42,38
40,2,43,39
41,2,44,40
42,2,47,43
43,2,48,44
44,2,49,45
45,2,49,45
46,2,49,45
47,2,50,46
48,2,51,47
49,2,51,47
50,2,52,48
51,2,52,48
52,3,55,51
53,3,56,52
54,3,57,53
55,3,58,54
56,3,58,54
57,3,58,54
58,3,60,56
59,3,62,58
60,3,63,59
61,3,65,61
62,3,68,64
63,3,69,65
64,4,72,68
65,4,73,69
66,4,74,70
67,4,76,72
68,4,76,72
69,4,78,74
70,4,78,74
71,4,79,75
72,4,80,76
73,4,80,76
74,4,80,76
75,4,81,77
76,4,84,80
77,4,85,81
78,4,86,82
79,5,89,85
80,5,90,86
81,5,91,87
82,5,92,87
83,5,94,89
84,5,94,89
85,6,95,90
86,6,97,92
87,6,99,94
88,6,100,95
89,6,101,96
90,6,102,96
91,6,104,98
92,6,105,99
93,6,106,100
94,6,109,102
95,6,110,103
96,6,111,104
97,6,113,106
98,6,115,108
99,6,115,108
