,num_infected,num_interactions,num_interactions_condoms
0,1,3,3
1,1,6,6
2,1,8,8
3,1,9,9
4,1,9,9
5,1,13,12
6,1,16,12
7,1,16,12
8,1,20,14
9,1,23,15
10,1,24,15
11,2,27,16
12,2,33,17
13,2,38,19
14,2,43,21
15,6,51,24
16,6,57,27
17,6,60,28
18,6,65,30
19,6,67,30
20,6,73,31
21,6,77,31
22,6,79,31
23,6,82,32
24,6,84,32
25,7,87,34
26,7,91,37
27,7,94,38
28,7,96,38
29,8,98,39
30,8,100,41
31,8,101,42
32,8,103,44
33,8,105,46
34,8,107,48
35,8,112,50
36,8,115,52
37,8,119,56
38,8,121,56
39,8,124,59
40,9,126,60
41,9,127,61
42,9,129,63
43,9,132,63
44,9,134,64
45,9,137,65
46,9,139,66
47,9,141,68
48,9,143,70
49,9,144,71
50,10,146,73
51,10,149,74
52,10,151,75
53,10,155,78
54,10,155,78
55,10,159,79
56,10,160,79
57,10,161,79
58,10,163,79
59,10,165,81
60,10,167,81
61,10,169,83
62,10,175,87
63,10,179,89
64,10,184,91
65,10,185,92
66,10,187,93
67,10,191,97
68,10,193,99
69,10,199,103
70,10,199,103
71,10,203,105
72,10,206,106
73,10,208,106
74,10,208,106
75,10,211,106
76,10,214,107
77,10,218,109
78,10,223,111
79,10,226,112
80,10,229,113
81,10,233,114
82,10,237,116
83,10,239,116
84,10,242,118
85,10,245,120
86,10,246,120
87,10,248,121
88,10,252,123
89,10,255,124
90,10,258,125
91,10,259,126
92,10,261,127
93,10,262,127
94,10,265,129
95,10,269,131
96,10,273,133
97,10,276,135
98,10,278,136
99,10,281,137
