,num_infected,num_interactions,num_interactions_condoms
0,2,2,2
1,2,5,5
2,3,8,8
3,3,10,10
4,3,13,13
5,3,16,16
6,3,18,18
7,3,23,23
8,3,24,24
9,3,26,26
10,3,26,26
11,3,27,27
12,3,28,28
13,3,32,32
14,3,36,36
15,3,40,40
16,3,46,46
17,3,50,50
18,3,53,53
19,3,59,59
20,3,62,62
21,3,65,65
22,3,68,68
23,3,69,69
24,3,73,73
25,3,77,77
26,3,80,80
27,3,83,83
28,3,87,87
29,3,89,89
30,3,93,93
31,4,99,99
32,4,102,102
33,4,106,106
34,4,109,109
35,4,111,111
36,4,116,116
37,5,120,120
38,5,124,124
39,5,128,128
40,5,131,131
41,5,132,132
42,5,136,136
43,5,138,138
44,5,143,143
45,5,146,146
46,6,148,148
47,6,154,154
48,6,158,158
49,6,159,159
50,7,162,162
51,7,163,163
52,7,164,164
53,7,164,164
54,7,168,168
55,7,171,171
56,7,173,173
57,8,175,175
58,8,176,176
59,9,180,180
60,9,182,182
61,9,184,184
62,9,188,188
63,9,192,192
64,9,195,195
65,9,199,199
66,9,202,202
67,9,203,203
68,9,206,206
69,9,209,209
70,9,210,210
71,9,214,214
72,9,216,216
73,9,217,217
74,9,218,218
75,9,220,220
76,9,223,223
77,9,226,226
78,9,232,232
79,9,233,233
80,9,236,236
81,9,240,240
82,9,244,244
83,9,246,246
84,9,248,248
85,9,250,250
86,9,253,253
87,9,255,255
88,9,257,257
89,9,260,260
90,9,265,265
91,9,270,270
92,9,274,274
93,9,279,279
94,9,280,280
95,9,282,282
96,9,285,285
97,9,288,288
98,9,294,294
99,10,299,299
