,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,0,0
2,1,2,2
3,1,2,2
4,1,4,4
5,1,5,5
6,1,5,5
7,1,6,6
8,1,9,9
9,1,10,10
10,1,10,10
11,1,10,10
12,2,12,11
13,2,13,12
14,2,16,15
15,2,17,16
16,2,17,16
17,2,17,16
18,2,18,17
19,3,20,18
20,3,20,18
21,3,22,20
22,3,24,22
23,3,25,23
24,3,26,24
25,3,26,24
26,3,26,24
27,3,27,25
28,3,28,26
29,3,29,27
30,3,30,28
31,3,30,28
32,3,30,28
33,3,30,28
34,3,30,28
35,3,30,28
36,3,31,29
37,3,31,29
38,3,33,31
39,3,34,32
40,3,34,32
41,3,34,32
42,3,34,32
43,3,35,33
44,3,36,34
45,3,36,34
46,3,38,36
47,4,39,36
48,4,39,36
49,4,40,37
50,4,41,38
51,4,43,39
52,4,43,39
53,4,44,40
54,4,44,40
55,4,44,40
56,4,45,40
57,4,46,41
58,4,48,43
59,4,50,44
60,4,51,45
61,4,52,46
62,4,53,47
63,4,53,47
64,4,53,47
65,4,53,47
66,4,54,48
67,4,54,48
68,4,54,48
69,4,56,50
70,4,57,51
71,4,57,51
72,4,59,53
73,4,62,56
74,4,62,56
75,4,65,59
76,4,65,59
77,4,65,59
78,4,67,61
79,4,67,61
80,4,68,62
81,4,68,62
82,5,70,63
83,6,72,64
84,6,72,64
85,6,73,65
86,6,75,66
87,6,77,67
88,6,78,68
89,6,80,69
90,6,83,71
91,6,84,72
92,6,86,73
93,6,90,77
94,6,90,77
95,6,93,78
96,6,95,79
97,6,96,80
98,7,99,83
99,7,100,84
