,num_infected,num_interactions,num_interactions_condoms
0,1,4,2
1,1,6,3
2,1,8,4
3,1,10,6
4,1,10,6
5,1,12,7
6,1,19,13
7,1,26,19
8,1,27,19
9,1,30,21
10,1,33,22
11,1,38,26
12,1,42,29
13,1,45,30
14,1,49,33
15,1,53,36
16,1,57,40
17,1,63,45
18,1,67,48
19,1,73,52
20,1,76,55
21,2,79,58
22,2,82,61
23,2,84,62
24,3,89,66
25,3,91,68
26,3,95,70
27,3,97,72
28,4,100,74
29,4,103,75
30,5,106,75
31,5,108,75
32,5,110,76
33,5,111,77
34,5,115,81
35,6,118,84
36,6,121,86
37,7,126,90
38,7,128,91
39,7,130,92
40,8,133,94
41,8,134,94
42,8,137,96
43,8,142,100
44,8,148,105
45,8,151,107
46,8,156,111
47,9,159,113
48,9,162,115
49,9,168,119
50,9,174,124
51,9,177,126
52,9,180,128
53,9,183,130
54,9,185,131
55,9,187,132
56,9,192,137
57,9,195,140
58,9,197,142
59,9,200,145
60,9,204,148
61,9,206,150
62,9,209,152
63,9,212,152
64,9,214,153
65,9,215,154
66,9,216,155
67,9,218,157
68,9,220,159
69,9,220,159
70,10,223,161
71,10,226,164
72,10,228,166
73,10,230,168
74,10,233,171
75,10,236,173
76,10,237,174
77,10,241,175
78,10,246,179
79,10,249,181
80,10,250,182
81,10,251,183
82,10,253,185
83,10,256,188
84,10,258,190
85,10,262,194
86,10,264,196
87,10,267,198
88,10,270,200
89,10,272,202
90,10,274,204
91,10,277,207
92,10,281,210
93,10,286,215
94,10,287,216
95,10,291,218
96,10,292,218
97,10,293,219
98,10,296,222
99,10,300,226
