,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,1,1
2,1,3,3
3,1,4,4
4,1,4,4
5,1,5,4
6,1,6,5
7,1,8,7
8,1,8,7
9,1,9,8
10,1,12,10
11,1,12,10
12,1,12,10
13,1,13,11
14,1,13,11
15,1,13,11
16,1,13,11
17,1,15,13
18,1,16,14
19,1,16,14
20,1,16,14
21,1,17,15
22,1,19,17
23,1,20,18
24,1,21,19
25,1,21,19
26,1,21,19
27,1,23,21
28,1,24,22
29,1,26,24
30,1,26,24
31,1,27,25
32,1,28,26
33,1,29,27
34,1,31,29
35,1,31,29
36,1,31,29
37,1,32,30
38,1,33,30
39,1,35,32
40,1,35,32
41,1,37,34
42,1,40,37
43,1,40,37
44,1,43,40
45,1,45,42
46,1,45,42
47,1,45,42
48,1,47,44
49,1,49,46
50,1,52,49
51,1,53,50
52,1,53,50
53,1,53,50
54,2,54,50
55,2,54,50
56,2,54,50
57,2,54,50
58,2,54,50
59,2,54,50
60,2,55,51
61,2,56,52
62,2,58,53
63,3,60,54
64,3,60,54
65,3,60,54
66,3,61,55
67,3,61,55
68,3,62,56
69,4,64,57
70,4,64,57
71,4,65,58
72,4,68,61
73,4,69,62
74,4,70,62
75,4,72,63
76,4,74,65
77,4,75,65
78,4,77,67
79,4,77,67
80,4,80,70
81,5,83,71
82,5,85,72
83,5,85,72
84,5,86,73
85,5,86,73
86,5,87,73
87,5,87,73
88,5,88,74
89,5,88,74
90,5,88,74
91,5,89,74
92,5,89,74
93,5,89,74
94,6,90,75
95,6,91,76
96,6,92,77
97,6,92,77
98,6,92,77
99,6,92,77
