,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,2,2
2,1,4,4
3,1,6,6
4,1,8,8
5,1,10,10
6,1,11,11
7,1,12,12
8,1,17,17
9,1,20,20
10,1,24,24
11,1,25,25
12,1,27,27
13,1,29,29
14,1,29,29
15,1,32,32
16,1,33,33
17,1,36,36
18,1,36,36
19,1,36,36
20,1,38,38
21,1,38,38
22,1,39,39
23,1,40,40
24,1,42,42
25,1,43,43
26,1,43,43
27,1,43,43
28,1,43,43
29,1,43,43
30,1,44,44
31,1,45,45
32,1,48,48
33,1,50,50
34,1,50,50
35,1,51,51
36,1,51,51
37,1,52,52
38,1,53,53
39,1,54,54
40,1,55,55
41,1,56,56
42,1,57,57
43,1,57,57
44,1,58,58
45,1,60,60
46,1,61,61
47,1,62,62
48,1,62,62
49,1,62,62
50,1,64,64
51,1,64,64
52,1,66,66
53,1,67,67
54,1,68,68
55,2,69,69
56,2,70,70
57,2,70,70
58,2,70,70
59,2,70,70
60,2,71,71
61,2,72,72
62,2,73,73
63,2,74,74
64,2,75,75
65,2,76,76
66,2,78,78
67,2,79,79
68,2,79,79
69,2,81,81
70,2,81,81
71,2,82,82
72,2,82,82
73,2,82,82
74,2,84,84
75,2,84,84
76,2,86,86
77,3,89,89
78,3,91,91
79,3,92,92
80,3,95,95
81,3,97,97
82,3,97,97
83,3,98,98
84,3,99,99
85,3,100,100
86,3,102,102
87,3,104,104
88,3,106,106
89,3,107,107
90,3,108,108
91,3,109,109
92,3,109,109
93,3,110,110
94,3,110,110
95,3,110,110
96,3,110,110
97,3,111,111
98,3,111,111
99,3,111,111
