,num_infected,num_interactions,num_interactions_condoms
0,1,1,0
1,1,2,0
2,1,4,0
3,1,7,0
4,2,10,0
5,3,13,0
6,5,18,0
7,6,21,0
8,6,24,0
9,8,26,0
10,8,30,0
11,8,33,0
12,8,36,0
13,9,40,0
14,9,43,0
15,9,49,0
16,9,52,0
17,9,55,0
18,10,57,0
19,10,61,0
20,10,64,0
21,10,68,0
22,10,68,0
23,10,72,0
24,10,75,0
25,10,76,0
26,10,80,0
27,10,82,0
28,10,88,0
29,10,91,0
30,10,92,0
31,10,93,0
32,10,95,0
33,10,99,0
34,10,103,0
35,10,108,0
36,10,113,0
37,10,120,0
38,10,122,0
39,10,122,0
40,10,123,0
41,10,128,0
42,10,134,0
43,10,139,0
44,10,141,0
45,10,144,0
46,10,145,0
47,10,146,0
48,10,148,0
49,10,151,0
50,10,153,0
51,10,154,0
52,10,156,0
53,10,158,0
54,10,162,0
55,10,165,0
56,10,167,0
57,10,171,0
58,10,173,0
59,10,176,0
60,10,179,0
61,10,179,0
62,10,180,0
63,10,182,0
64,10,183,0
65,10,188,0
66,10,193,0
67,10,195,0
68,10,197,0
69,10,199,0
70,10,203,0
71,10,207,0
72,10,211,0
73,10,212,0
74,10,215,0
75,10,218,0
76,10,221,0
77,10,223,0
78,10,226,0
79,10,230,0
80,10,233,0
81,10,237,0
82,10,241,0
83,10,245,0
84,10,248,0
85,10,249,0
86,10,252,0
87,10,254,0
88,10,255,0
89,10,257,0
90,10,259,0
91,10,262,0
92,10,265,0
93,10,269,0
94,10,270,0
95,10,272,0
96,10,274,0
97,10,275,0
98,10,280,0
99,10,281,0
