,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,1,1
2,1,3,3
3,1,3,3
4,1,3,3
5,1,4,4
6,1,6,6
7,2,7,7
8,2,8,8
9,2,10,10
10,2,11,11
11,2,11,11
12,2,11,11
13,2,11,11
14,2,12,12
15,2,12,12
16,2,15,15
17,2,17,17
18,2,18,18
19,2,19,19
20,2,19,19
21,2,19,19
22,2,20,20
23,2,22,22
24,2,23,23
25,2,23,23
26,2,24,24
27,2,24,24
28,3,26,26
29,3,26,26
30,3,26,26
31,3,26,26
32,3,26,26
33,3,27,27
34,3,28,28
35,3,28,28
36,3,28,28
37,3,29,29
38,3,30,30
39,3,30,30
40,4,31,31
41,4,31,31
42,4,32,32
43,4,32,32
44,4,33,33
45,4,34,34
46,4,34,34
47,4,35,35
48,4,36,36
49,4,37,37
50,4,37,37
51,4,37,37
52,4,38,38
53,4,39,39
54,4,41,41
55,4,41,41
56,4,42,42
57,4,42,42
58,4,42,42
59,4,42,42
60,4,42,42
61,4,43,43
62,4,44,44
63,4,46,46
64,4,46,46
65,4,46,46
66,4,47,47
67,4,47,47
68,4,49,49
69,4,49,49
70,4,49,49
71,4,50,50
72,4,51,51
73,4,53,53
74,4,54,54
75,4,54,54
76,4,56,56
77,4,56,56
78,4,57,57
79,4,57,57
80,4,57,57
81,4,58,58
82,4,58,58
83,4,58,58
84,4,58,58
85,4,59,59
86,4,59,59
87,4,59,59
88,4,61,61
89,4,61,61
90,4,62,62
91,4,62,62
92,4,64,64
93,4,64,64
94,4,65,65
95,4,65,65
96,4,67,67
97,4,67,67
98,4,67,67
99,4,67,67
