,num_infected,num_interactions,num_interactions_condoms
0,1,2,2
1,1,6,6
2,1,8,8
3,1,8,8
4,1,8,8
5,1,11,11
6,1,15,15
7,1,16,16
8,1,17,17
9,1,20,20
10,1,25,25
11,1,29,29
12,1,32,32
13,1,33,33
14,1,35,35
15,1,37,37
16,1,43,43
17,1,48,48
18,1,54,54
19,1,57,57
20,1,59,59
21,1,63,63
22,1,65,65
23,1,67,67
24,1,69,69
25,1,73,73
26,1,76,76
27,1,78,78
28,1,80,80
29,2,87,87
30,2,90,90
31,2,96,96
32,2,101,101
33,2,108,108
34,2,113,113
35,2,119,119
36,2,123,123
37,2,128,128
38,2,132,132
39,2,137,137
40,2,142,142
41,2,146,146
42,2,151,151
43,2,153,153
44,2,156,156
45,2,160,160
46,2,164,164
47,2,165,165
48,2,169,169
49,2,172,172
50,2,175,175
51,2,178,178
52,2,183,183
53,2,187,187
54,2,188,188
55,2,190,190
56,2,191,191
57,2,196,196
58,2,200,200
59,2,203,203
60,2,204,204
61,2,206,206
62,2,210,210
63,2,210,210
64,2,212,212
65,2,213,213
66,2,214,214
67,2,215,215
68,2,216,216
69,3,218,218
70,3,220,220
71,3,226,226
72,3,229,229
73,3,235,235
74,3,237,237
75,3,240,240
76,3,244,244
77,3,246,246
78,3,246,246
79,3,250,250
80,3,256,256
81,3,259,259
82,3,262,262
83,3,264,264
84,3,266,266
85,3,268,268
86,3,270,270
87,4,273,273
88,4,275,275
89,4,275,275
90,4,279,279
91,4,279,279
92,4,281,281
93,5,284,284
94,5,287,287
95,5,289,289
96,5,292,292
97,5,293,293
98,5,300,300
99,5,302,302
