,num_infected,num_interactions,num_interactions_condoms
0,2,4,4
1,2,6,6
2,3,9,9
3,4,11,10
4,6,16,14
5,7,20,16
6,7,24,19
7,7,27,21
8,7,29,21
9,7,32,23
10,7,33,24
11,7,34,25
12,7,36,27
13,7,39,30
14,7,40,30
15,7,42,31
16,7,46,34
17,7,48,35
18,7,52,39
19,7,56,42
20,7,57,43
21,7,59,45
22,7,61,46
23,7,61,46
24,7,65,49
25,7,66,50
26,7,68,52
27,7,71,54
28,7,74,57
29,7,76,59
30,7,77,59
31,7,78,60
32,7,81,62
33,7,82,63
34,7,83,64
35,7,83,64
36,7,85,65
37,7,86,65
38,7,87,65
39,7,89,67
40,7,91,69
41,7,93,70
42,7,98,73
43,7,102,76
44,7,104,78
45,7,107,81
46,7,110,82
47,7,111,82
48,7,113,83
49,7,115,84
50,7,118,87
51,8,122,89
52,8,124,91
53,8,130,95
54,9,134,98
55,9,137,100
56,10,139,102
57,10,141,102
58,10,142,103
59,10,142,103
60,10,147,107
61,10,154,112
62,10,156,114
63,10,157,115
64,10,160,118
65,10,166,121
66,10,172,124
67,10,177,127
68,10,180,130
69,10,183,132
70,10,186,135
71,10,190,139
72,10,191,140
73,10,194,143
74,10,197,145
75,10,202,148
76,10,203,148
77,10,206,150
78,10,208,152
79,10,209,153
80,10,216,155
81,10,220,157
82,10,222,157
83,10,224,159
84,10,225,160
85,10,227,161
86,10,230,163
87,10,235,164
88,10,237,165
89,10,240,168
90,10,248,171
91,10,256,176
92,10,262,180
93,10,267,183
94,10,272,186
95,10,278,189
96,10,281,190
97,10,283,191
98,10,286,193
99,10,289,195
