,num_infected,num_interactions,num_interactions_condoms
0,1,4,4
1,1,6,6
2,1,6,6
3,1,6,6
4,1,9,9
5,1,9,9
6,1,9,9
7,1,11,11
8,1,12,12
9,1,12,12
10,1,12,12
11,1,12,12
12,1,14,14
13,1,15,15
14,1,15,15
15,1,15,15
16,1,15,15
17,2,16,16
18,2,17,17
19,2,19,19
20,2,20,20
21,2,22,22
22,2,23,23
23,2,23,23
24,2,24,24
25,2,25,25
26,2,25,25
27,2,26,26
28,2,27,27
29,2,28,28
30,2,29,29
31,2,29,29
32,2,31,31
33,2,35,35
34,2,36,36
35,2,36,36
36,2,37,37
37,2,41,41
38,2,41,41
39,2,42,42
40,2,42,42
41,2,42,42
42,2,42,42
43,2,44,44
44,2,44,44
45,2,45,45
46,2,46,46
47,2,48,48
48,2,48,48
49,2,48,48
50,2,48,48
51,2,48,48
52,2,49,49
53,2,49,49
54,2,51,51
55,2,51,51
56,2,51,51
57,2,51,51
58,2,52,52
59,2,52,52
60,2,53,53
61,2,55,55
62,2,56,56
63,2,56,56
64,2,57,57
65,2,59,59
66,2,59,59
67,2,60,60
68,2,61,61
69,2,62,62
70,2,63,63
71,2,63,63
72,2,64,64
73,2,64,64
74,2,65,65
75,2,67,67
76,2,68,68
77,2,68,68
78,2,68,68
79,3,69,69
80,3,71,71
81,3,71,71
82,3,72,72
83,3,73,73
84,3,73,73
85,3,73,73
86,3,74,74
87,3,77,77
88,3,77,77
89,3,77,77
90,3,77,77
91,3,79,79
92,3,80,80
93,3,80,80
94,3,80,80
95,3,81,81
96,3,81,81
97,3,81,81
98,3,81,81
99,3,82,82
