,num_infected,num_interactions,num_interactions_condoms
0,1,2,0
1,1,3,0
2,1,4,0
3,1,8,0
4,1,10,0
5,1,13,0
6,1,14,0
7,1,18,0
8,3,24,0
9,3,30,0
10,3,34,0
11,3,38,0
12,3,40,0
13,3,42,0
14,3,43,0
15,4,47,0
16,8,53,0
17,8,59,0
18,9,64,0
19,9,66,0
20,9,67,0
21,9,69,0
22,9,71,0
23,10,72,0
24,10,76,0
25,10,81,0
26,10,85,0
27,10,86,0
28,10,87,0
29,10,94,0
30,10,98,0
31,10,104,0
32,10,106,0
33,10,107,0
34,10,109,0
35,10,110,0
36,10,115,0
37,10,119,0
38,10,121,0
39,10,124,0
40,10,129,0
41,10,133,0
42,10,134,0
43,10,139,0
44,10,142,0
45,10,144,0
46,10,147,0
47,10,150,0
48,10,151,0
49,10,154,0
50,10,156,0
51,10,160,0
52,10,162,0
53,10,165,0
54,10,171,0
55,10,175,0
56,10,178,0
57,10,182,0
58,10,183,0
59,10,185,0
60,10,186,0
61,10,191,0
62,10,194,0
63,10,197,0
64,10,202,0
65,10,208,0
66,10,212,0
67,10,215,0
68,10,217,0
69,10,219,0
70,10,220,0
71,10,222,0
72,10,225,0
73,10,228,0
74,10,230,0
75,10,233,0
76,10,237,0
77,10,239,0
78,10,242,0
79,10,245,0
80,10,247,0
81,10,251,0
82,10,252,0
83,10,253,0
84,10,256,0
85,10,261,0
86,10,263,0
87,10,265,0
88,10,268,0
89,10,271,0
90,10,275,0
91,10,280,0
92,10,283,0
93,10,285,0
94,10,286,0
95,10,291,0
96,10,294,0
97,10,304,0
98,10,311,0
99,10,315,0
