,time,agent_a,agent_b,use_condom,is_transmission
0,0,0,6,False,False
1,0,4,7,False,False
2,1,0,6,False,False
3,1,0,3,False,False
4,1,3,6,False,False
5,1,2,9,False,True
6,3,2,7,False,True
7,4,0,6,False,False
8,4,4,8,False,False
9,5,0,9,False,True
10,6,6,9,False,True
11,6,7,8,False,True
12,7,7,8,False,False
13,7,0,9,False,True
14,8,6,9,False,True
15,8,4,7,False,True
16,9,1,2,False,True
17,9,4,5,False,True
18,9,5,8,False,True
19,10,4,7,False,True
20,10,7,8,False,True
21,10,5,8,False,True
22,11,4,8,False,True
23,13,3,4,False,True
24,13,4,7,False,True
25,13,1,9,False,True
26,14,4,8,False,True
27,14,1,9,False,True
28,14,0,3,False,False
29,14,3,4,False,True
30,14,4,7,False,True
31,14,3,7,False,True
32,15,4,8,False,True
33,15,1,9,False,True
34,16,6,7,False,True
35,16,3,4,False,True
36,16,1,9,False,True
37,17,4,8,False,True
38,17,0,7,False,False
39,17,2,3,False,True
40,17,2,9,False,True
41,18,1,4,False,True
42,18,6,7,False,True
43,19,2,3,False,True
44,19,1,2,False,True
45,19,0,7,False,True
46,19,1,4,False,True
47,20,3,4,False,True
48,20,2,4,False,True
49,20,1,2,False,True
50,20,2,3,False,True
51,20,1,3,False,True
52,21,0,4,False,True
53,21,0,5,False,True
54,21,1,2,False,True
55,22,0,8,False,True
56,22,2,3,False,True
57,23,1,3,False,True
58,23,0,4,False,False
59,23,0,7,False,True
60,24,6,8,False,True
61,24,5,7,False,True
62,24,1,3,False,True
63,25,5,7,False,True
64,25,0,4,False,True
65,26,4,8,False,True
66,26,0,8,False,True
67,26,5,7,False,True
68,28,1,5,False,True
69,29,1,9,False,True
70,29,0,7,False,True
71,29,1,5,False,True
72,29,4,8,False,True
73,30,1,3,False,True
74,30,6,9,False,True
75,30,4,8,False,True
76,30,0,7,False,True
77,31,0,2,False,True
78,32,0,7,False,False
79,33,2,3,False,True
80,33,0,7,False,True
81,34,1,9,False,True
82,34,0,4,False,True
83,35,1,9,False,True
84,35,0,4,False,True
85,35,5,6,False,True
86,35,7,8,False,True
87,35,5,8,False,False
88,36,0,4,False,True
89,36,0,7,False,True
90,36,5,8,False,False
91,37,5,8,False,True
92,37,1,9,False,True
93,39,2,4,False,True
94,39,2,9,False,True
95,40,0,6,False,True
96,40,2,9,False,True
97,40,3,8,False,True
98,40,1,2,False,True
99,40,5,6,False,True
100,41,2,4,False,True
101,41,1,4,False,True
102,42,2,9,False,True
103,42,0,5,False,True
104,42,3,8,False,True
105,43,0,4,False,True
106,43,5,6,False,True
107,44,5,6,False,True
108,44,6,9,False,True
109,44,0,2,False,True
110,44,5,9,False,True
111,45,5,6,False,True
112,46,0,4,False,True
113,46,5,6,False,True
114,46,0,1,False,True
115,47,4,7,False,True
116,47,5,6,False,True
117,48,0,1,False,True
118,48,7,9,False,True
119,48,0,7,False,True
120,48,4,7,False,True
121,48,3,8,False,True
122,49,4,7,False,True
123,50,2,6,False,False
124,50,3,8,False,True
125,50,4,7,False,True
126,51,4,7,False,True
127,51,5,8,False,True
128,51,3,8,False,True
129,51,2,6,False,True
130,52,2,6,False,True
131,52,4,9,False,True
132,52,5,8,False,True
133,53,4,7,False,True
134,53,7,9,False,True
