,num_infected,num_interactions,num_interactions_condoms
0,1,2,2
1,1,2,2
2,1,2,2
3,1,3,3
4,1,3,3
5,1,3,3
6,1,5,5
7,1,5,5
8,1,6,6
9,1,7,7
10,1,8,8
11,1,9,9
12,2,11,11
13,2,13,13
14,2,13,13
15,2,14,14
16,2,15,15
17,2,15,15
18,2,15,15
19,2,17,17
20,2,18,18
21,2,19,18
22,2,20,19
23,2,20,19
24,2,22,21
25,3,23,21
26,3,24,22
27,3,25,23
28,3,28,26
29,3,31,29
30,4,32,29
31,4,32,29
32,4,35,32
33,4,35,32
34,4,36,33
35,4,36,33
36,4,37,34
37,4,38,35
38,4,38,35
39,4,38,35
40,4,40,37
41,5,42,39
42,5,42,39
43,5,46,43
44,5,47,44
45,5,48,45
46,5,48,45
47,5,48,45
48,5,48,45
49,5,49,46
50,5,50,47
51,5,51,48
52,5,51,48
53,5,51,48
54,5,51,48
55,5,51,48
56,5,52,49
57,5,54,51
58,5,55,52
59,5,55,52
60,5,55,52
61,5,55,52
62,5,55,52
63,5,55,52
64,5,56,53
65,5,58,54
66,5,58,54
67,5,59,55
68,5,59,55
69,5,60,56
70,5,60,56
71,5,60,56
72,5,61,57
73,5,62,58
74,5,62,58
75,5,62,58
76,5,63,59
77,5,64,60
78,5,64,60
79,5,64,60
80,5,64,60
81,5,65,61
82,5,67,63
83,5,67,63
84,5,67,63
85,5,67,63
86,5,67,63
87,5,67,63
88,5,69,65
89,5,69,65
90,5,70,66
91,5,70,66
92,5,70,66
93,5,71,67
94,5,71,67
95,5,71,67
96,5,71,67
97,5,71,67
98,5,71,67
99,5,72,68
