,num_infected,num_interactions,num_interactions_condoms
0,1,3,3
1,1,8,8
2,1,10,10
3,1,12,12
4,1,12,12
5,1,14,14
6,1,15,15
7,1,17,17
8,1,22,22
9,1,25,25
10,1,29,29
11,1,31,31
12,1,33,33
13,1,36,36
14,1,38,38
15,1,39,39
16,1,44,44
17,1,47,47
18,1,49,49
19,1,51,51
20,2,54,54
21,2,56,56
22,2,57,57
23,2,60,60
24,2,62,62
25,2,63,63
26,2,67,67
27,2,69,69
28,2,71,71
29,2,73,73
30,2,74,74
31,2,77,77
32,2,81,81
33,2,83,83
34,2,88,88
35,2,92,92
36,2,94,94
37,2,98,98
38,2,102,102
39,3,106,106
40,3,109,109
41,3,112,112
42,3,115,115
43,3,120,120
44,3,123,123
45,3,123,123
46,3,126,126
47,3,129,129
48,3,130,130
49,3,132,132
50,3,133,133
51,3,134,134
52,3,135,135
53,3,136,136
54,3,138,138
55,4,141,141
56,4,143,143
57,4,147,147
58,4,151,151
59,4,155,155
60,4,158,158
61,4,159,159
62,5,161,161
63,5,165,165
64,5,168,168
65,5,173,173
66,5,175,175
67,5,177,177
68,5,179,179
69,5,182,182
70,5,185,185
71,5,187,187
72,5,189,189
73,5,191,191
74,6,194,194
75,6,195,195
76,6,196,196
77,6,196,196
78,6,197,197
79,7,200,200
80,7,204,204
81,7,207,207
82,7,209,209
83,7,213,213
84,7,214,214
85,7,215,215
86,8,217,217
87,8,221,221
88,8,224,224
89,8,228,228
90,8,229,229
91,9,230,230
92,9,233,233
93,9,235,235
94,9,237,237
95,9,240,240
96,9,241,241
97,9,242,242
98,9,246,246
99,9,248,248
