,num_infected,num_interactions,num_interactions_condoms
0,1,2,2
1,1,4,4
2,1,9,9
3,1,13,13
4,1,15,15
5,1,18,18
6,1,21,21
7,1,24,23
8,1,27,26
9,1,32,30
10,1,39,36
11,1,41,38
12,1,43,39
13,1,47,43
14,1,51,47
15,1,52,48
16,1,57,53
17,1,62,58
18,1,65,61
19,1,67,63
20,1,71,66
21,1,75,69
22,1,80,74
23,1,82,76
24,2,87,81
25,2,89,83
26,2,93,86
27,3,98,90
28,3,102,93
29,3,110,100
30,3,113,103
31,3,114,104
32,4,117,107
33,4,120,110
34,4,121,111
35,4,122,112
36,4,124,114
37,4,129,119
38,4,132,122
39,4,135,125
40,5,138,128
41,5,140,130
42,5,142,132
43,5,146,136
44,5,146,136
45,5,146,136
46,5,148,138
47,5,150,140
48,6,154,144
49,6,155,145
50,6,156,146
51,6,158,148
52,6,160,150
53,6,165,155
54,6,167,157
55,7,170,160
56,7,171,161
57,7,174,164
58,7,177,167
59,7,179,169
60,7,182,172
61,8,185,175
62,8,188,178
63,8,195,185
64,8,199,189
65,8,203,193
66,8,207,197
67,8,211,201
68,9,213,203
69,10,216,206
70,10,220,210
71,10,223,213
72,10,225,215
73,10,229,219
74,10,231,221
75,10,233,223
76,10,235,225
77,10,236,226
78,10,238,228
79,10,240,230
80,10,245,234
81,10,248,237
82,10,250,239
83,10,250,239
84,10,253,242
85,10,254,243
86,10,256,245
87,10,260,249
88,10,260,249
89,10,265,254
90,10,268,257
91,10,270,259
92,10,273,262
93,10,276,265
94,10,279,268
95,10,286,275
96,10,289,278
97,10,292,281
98,10,295,284
99,10,299,288
