,num_infected,num_interactions,num_interactions_condoms
0,2,2,0
1,3,5,0
2,3,9,0
3,3,12,0
4,4,15,0
5,4,18,0
6,4,19,0
7,4,21,0
8,4,22,0
9,4,22,0
10,4,25,0
11,4,26,0
12,6,30,0
13,6,33,0
14,6,35,0
15,8,38,0
16,9,42,0
17,10,47,0
18,10,54,0
19,10,58,0
20,10,60,0
21,10,63,0
22,10,67,0
23,10,68,0
24,10,70,0
25,10,72,0
26,10,78,0
27,10,81,0
28,10,82,0
29,10,85,0
30,10,88,0
31,10,91,0
32,10,95,0
33,10,100,0
34,10,103,0
35,10,109,0
36,10,114,0
37,10,120,0
38,10,123,0
39,10,126,0
40,10,129,0
41,10,135,0
42,10,141,0
43,10,146,0
44,10,151,0
45,10,158,0
46,10,162,0
47,10,165,0
48,10,168,0
49,10,171,0
50,10,173,0
51,10,175,0
52,10,179,0
53,10,184,0
54,10,188,0
55,10,193,0
56,10,198,0
57,10,202,0
58,10,203,0
59,10,205,0
60,10,209,0
61,10,212,0
62,10,214,0
63,10,215,0
64,10,217,0
65,10,219,0
66,10,221,0
67,10,222,0
68,10,226,0
69,10,229,0
70,10,233,0
71,10,236,0
72,10,239,0
73,10,241,0
74,10,246,0
75,10,247,0
76,10,250,0
77,10,252,0
78,10,254,0
79,10,257,0
80,10,263,0
81,10,264,0
82,10,268,0
83,10,271,0
84,10,275,0
85,10,276,0
86,10,279,0
87,10,281,0
88,10,283,0
89,10,285,0
90,10,287,0
91,10,288,0
92,10,290,0
93,10,293,0
94,10,295,0
95,10,297,0
96,10,300,0
97,10,302,0
98,10,306,0
99,10,311,0
