,num_infected,num_interactions,num_interactions_condoms
0,1,1,1
1,1,3,3
2,1,8,8
3,1,10,10
4,1,13,13
5,1,16,16
6,1,18,18
7,1,20,20
8,1,25,25
9,1,29,29
10,1,31,31
11,1,34,34
12,2,38,38
13,2,39,39
14,2,41,41
15,2,43,43
16,2,47,47
17,2,50,50
18,2,52,52
19,2,54,54
20,3,55,55
21,3,56,56
22,3,57,57
23,3,60,60
24,3,62,62
25,3,62,62
26,3,65,65
27,3,69,69
28,3,71,71
29,3,73,73
30,3,77,77
31,3,80,80
32,3,83,83
33,3,84,84
34,3,85,85
35,3,87,87
36,3,90,90
37,3,92,92
38,3,96,96
39,3,100,100
40,4,101,101
41,4,104,104
42,4,107,107
43,4,112,112
44,4,120,120
45,5,125,125
46,5,128,128
47,5,132,132
48,5,135,135
49,5,138,138
50,5,142,142
51,6,144,144
52,6,147,147
53,7,151,151
54,7,151,151
55,7,153,153
56,7,157,157
57,7,159,159
58,7,161,161
59,7,164,164
60,8,167,167
61,8,173,173
62,8,180,180
63,8,186,186
64,8,187,187
65,8,188,188
66,8,191,191
67,8,195,195
68,9,200,200
69,9,202,202
70,9,206,206
71,9,209,209
72,9,214,214
73,9,217,217
74,9,221,221
75,9,225,225
76,9,228,228
77,9,231,231
78,10,234,234
79,10,236,236
80,10,238,238
81,10,239,239
82,10,241,241
83,10,243,243
84,10,244,244
85,10,247,247
86,10,250,250
87,10,252,252
88,10,254,254
89,10,255,255
90,10,258,258
91,10,262,262
92,10,263,263
93,10,264,264
94,10,267,267
95,10,270,270
96,10,271,271
97,10,275,275
98,10,276,276
99,10,276,276
