,num_infected,num_interactions,num_interactions_condoms
0,1,2,0
1,1,4,0
2,1,4,0
3,1,6,0
4,1,8,0
5,1,9,0
6,2,10,0
7,2,10,0
8,2,11,0
9,2,11,0
10,2,11,0
11,2,12,0
12,2,12,0
13,2,12,0
14,3,14,0
15,4,15,0
16,4,16,0
17,5,17,0
18,6,20,0
19,6,20,0
20,6,21,0
21,6,21,0
22,6,21,0
23,6,22,0
24,6,22,0
25,6,23,0
26,6,23,0
27,7,24,0
28,7,26,0
29,7,26,0
30,7,27,0
31,7,28,0
32,8,29,0
33,8,30,0
34,9,32,0
35,10,33,0
36,10,34,0
37,10,35,0
38,10,37,0
39,10,37,0
40,10,38,0
41,10,40,0
42,10,43,0
43,10,47,0
44,10,47,0
45,10,48,0
46,10,48,0
47,10,50,0
48,10,51,0
49,10,53,0
50,10,53,0
51,10,54,0
52,10,54,0
53,10,55,0
54,10,56,0
55,10,56,0
56,10,56,0
57,10,56,0
58,10,56,0
59,10,56,0
60,10,56,0
61,10,59,0
62,10,60,0
63,10,60,0
64,10,61,0
65,10,61,0
66,10,61,0
67,10,62,0
68,10,63,0
69,10,65,0
70,10,67,0
71,10,69,0
72,10,71,0
73,10,75,0
74,10,75,0
75,10,76,0
76,10,77,0
77,10,77,0
78,10,78,0
79,10,78,0
80,10,79,0
81,10,80,0
82,10,81,0
83,10,82,0
84,10,83,0
85,10,85,0
86,10,85,0
87,10,87,0
88,10,87,0
89,10,88,0
90,10,89,0
91,10,89,0
92,10,91,0
93,10,93,0
94,10,93,0
95,10,93,0
96,10,94,0
97,10,94,0
98,10,95,0
99,10,95,0
