,time,agent_a,agent_b,use_condom,is_transmission
0,0,1,6,False,False
1,1,6,8,False,False
2,2,6,8,False,False
3,3,4,7,False,False
4,3,1,7,False,False
5,3,2,8,False,False
6,3,6,8,False,False
7,3,2,6,False,False
8,4,1,8,False,False
9,5,4,7,False,False
10,5,1,8,False,False
11,5,0,6,False,True
12,6,4,7,False,False
13,6,0,5,False,True
14,6,0,9,False,True
15,7,0,5,False,True
16,7,2,9,False,True
17,11,0,4,False,True
18,11,6,9,False,True
19,12,1,2,False,True
20,12,6,9,False,True
21,12,1,5,False,True
22,13,2,7,False,True
23,14,2,9,False,False
24,15,6,8,False,True
25,15,1,5,False,True
26,15,8,9,False,True
27,18,4,5,False,True
28,19,2,7,False,True
29,22,6,7,False,True
30,22,4,5,False,True
31,24,2,9,False,True
32,26,4,9,False,True
33,26,6,9,False,True
34,26,6,8,False,True
35,27,6,9,False,True
36,27,2,5,False,True
37,28,4,6,False,True
38,28,6,9,False,True
39,29,6,8,False,True
40,29,4,9,False,True
41,29,8,9,False,True
42,30,6,9,False,True
43,31,2,9,False,False
44,31,3,9,False,True
45,33,2,4,False,True
46,35,0,1,False,True
47,36,2,3,False,True
48,38,0,2,False,True
49,39,5,7,False,False
50,40,0,1,False,True
51,40,1,4,False,True
52,46,0,9,False,True
53,46,2,8,False,True
54,47,2,8,False,True
55,47,5,6,False,True
56,48,4,9,False,True
57,48,0,4,False,True
58,49,6,8,False,True
59,49,0,4,False,True
60,52,0,4,False,True
61,52,2,9,False,True
62,53,0,7,False,True
63,54,2,9,False,True
64,57,0,3,False,True
65,58,3,8,False,True
66,59,4,7,False,True
67,61,0,9,False,True
68,62,1,2,False,True
69,62,0,9,False,True
70,63,0,8,False,True
71,64,1,5,False,True
72,65,3,7,False,True
73,65,0,9,False,True
74,67,1,5,False,True
75,67,0,2,False,True
76,69,4,9,False,True
77,71,3,8,False,True
78,71,1,5,False,True
79,73,0,2,False,True
80,75,3,8,False,True
81,76,2,5,False,True
82,78,1,2,False,True
83,79,8,9,False,True
84,80,0,1,False,True
85,81,2,4,False,True
86,82,3,9,False,True
87,82,5,7,False,True
88,85,5,7,False,False
89,85,1,5,False,True
90,86,1,5,False,True
91,86,8,9,False,True
92,87,8,9,False,True
93,88,2,4,False,True
94,90,3,8,False,True
95,94,1,5,False,True
96,95,2,4,False,True
97,96,3,5,False,False
98,97,3,5,False,True
99,98,6,8,False,True
