,num_infected,num_interactions,num_interactions_condoms
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,3,3
5,1,5,5
6,1,6,6
7,1,7,7
8,1,8,8
9,1,9,9
10,1,10,10
11,1,12,12
12,1,12,12
13,1,13,13
14,1,13,13
15,1,13,13
16,1,14,14
17,1,15,15
18,2,18,17
19,2,21,19
20,2,23,21
21,2,23,21
22,2,26,24
23,2,28,26
24,2,28,26
25,2,29,27
26,2,29,27
27,2,30,28
28,2,30,28
29,2,31,29
30,2,31,29
31,3,33,30
32,3,33,30
33,4,35,32
34,4,37,34
35,4,38,35
36,4,39,36
37,4,40,37
38,4,41,38
39,4,42,39
40,4,42,39
41,4,42,39
42,4,44,40
43,4,44,40
44,4,44,40
45,4,45,41
46,4,48,44
47,5,49,45
48,5,49,45
49,5,49,45
50,5,50,46
51,5,50,46
52,5,50,46
53,5,51,47
54,5,51,47
55,5,52,48
56,5,53,49
57,5,54,50
58,5,55,51
59,5,56,52
60,5,56,52
61,5,58,54
62,5,58,54
63,5,60,56
64,5,60,56
65,5,60,56
66,5,61,57
67,5,63,59
68,5,64,60
69,5,66,62
70,5,66,62
71,5,67,63
72,5,67,63
73,5,68,64
74,5,68,64
75,5,69,65
76,5,69,65
77,5,69,65
78,5,69,65
79,6,71,67
80,6,72,68
81,6,72,68
82,6,72,68
83,6,73,69
84,6,74,70
85,6,75,71
86,6,75,71
87,6,77,73
88,6,79,75
89,6,81,76
90,6,82,77
91,6,84,78
92,6,85,79
93,6,85,79
94,6,86,80
95,6,87,81
96,6,88,82
97,6,88,82
98,6,89,83
99,6,90,84
